"gene_id" "Cu_deficient" "Cu_deficient_crr1" "Cu_deficient_crr12" "Cu_sufficient" "Fe_deficient_Min" "Fe_limited_Min" "Fe_repleted_Min" "H2O2_t0" "H2O2_t05" "H2O2_t1" "N_deprived" "N_repleted" "S_deprived" "S_deprived_ars11" "S_repleted" "S_repleted_ars11" "singlet_4A" "singlet_sor1" "TAP_recipe1" "TAP_recipe2"
"Cre01.g004650" 3.15382 18.2347 5.87649 4.79622 6.18521 9.7911 6.32428 9.50685 10.6798 18.7326 4.35149 6.22043 9.47421 5.53155 7.81171 9.61445 7.12827 5.83475 3.55766 3.42569
"Cre01.g004750" 20.5422 3.69043 4.99838 1.31737 17.5212 12.3256 18.5914 1.10653 2.44648 3.7384 4.85236 0.484167 0.169394 0.982958 0.0279053 2.55316 0 0.5383 2.13711 2.28362
"Cre01.g004800" 31.3884 29.9171 26.3165 36.9898 20.7728 27.2851 30.283 25.4529 33.2953 29.5621 164.365 24.3068 22.0273 15.1387 19.1394 16.5104 41.909 15.8973 35.8138 35.2002
"g119" 14.6531 15.2449 22.1468 14.9953 0.86225 0.55095 0.408319 1.93198 2.63528 10.78 0.578946 0.627856 6.57061 12.1922 1.55649 9.06972 2.70848 5.93918 5.48112 4.5822
"Cre01.g005000" 8.4917 9.17953 7.47046 9.13919 9.54336 9.2699 8.23496 8.09384 8.69005 9.81708 22.7338 12.5541 8.95994 9.13502 7.03842 6.95924 9.02396 7.51199 6.79281 6.26588
"Cre01.g005100" 2.58696 3.08057 1.80892 2.24532 5.26662 4.00959 5.44697 2.42687 2.99337 2.18724 3.56874 2.99901 2.94255 2.00646 2.6397 3.73905 4.27325 2.38032 2.01191 1.86917
"g124" 0.449039 0.607425 0.603257 0.470847 1.48219 0.826473 0.461473 2.0963 2.68 1.95749 2.66372 0.952689 11.8782 4.41387 5.13475 3.22287 2.91136 4.62294 2.95932 5.11964
"Cre01.g005250" 0.0303187 0.0519456 0.0133248 0.13536 0 0 0 0.039584 0.0183667 0.0320248 0.0122022 0 0 0 0 0 0 0 0 0
"g128" 0.0171321 0.0114481 0.0137782 0.0560749 0 0 0 0.0302229 0.0368001 0.0292523 0 0.0270489 0.0319957 0 0 0 0 0.0489987 0 0
"g129" 0.00264925 0.0304401 0.0510556 0.155719 0 0 0 0.134975 0.0600881 0.155194 0.00674952 0.0130377 0 0 0 0 0 0 0 0
