258029_at	AT3G27580
253401_at	AT4G32870
252922_at	AT4G39040
254727_at	AT4G13670
253550_at	AT4G30960
266674_at	AT2G29620
259417_at	AT1G02340
262558_at	AT1G31335
260051_at	AT1G78210
245101_at	AT2G40890
254289_at	AT4G22980
257203_at	AT3G23730
257593_at	AT3G24840
260076_at	AT1G73630
254188_at	AT4G23920
259064_at	AT3G07490
248144_at	AT5G54800
260130_s_at	 * 
245047_at	ATCG00020
261842_at	AT1G16160
257600_at	AT3G24770
255692_at	AT4G00400
247938_at	AT5G57140
255433_at	AT4G03210
250446_at	AT5G10770
265475_at	AT2G15620
258473_s_at	 * 
245044_at	AT2G26500
253667_at	AT4G30170
251232_at	AT3G62780
260227_at	AT1G74450
254258_at	AT4G23410
257748_at	AT3G18710
264873_at	AT1G24100
252864_at	AT4G39740
250455_at	AT5G09980
249721_at	AT5G24655
258064_at	AT3G14680
250201_at	AT5G14230
266656_at	AT2G25900
245127_at	AT2G47600
250346_at	AT5G11950
253215_at	AT4G34950
255511_at	AT4G02075
249295_at	AT5G41280
264217_at	AT1G60190
263005_at	AT1G54540
259952_at	AT1G71400
253104_at	AT4G36010
267472_at	AT2G02850
254032_at	AT4G25940
245577_at	AT4G14780
252501_at	AT3G46880
245373_s_at	 * 
259584_at	AT1G28080
257720_at	AT3G18450
257774_at	AT3G29250
263629_at	AT2G04850
262177_at	AT1G74710
265260_at	AT2G43000
249817_at	AT5G23820
266098_at	AT2G37870
245713_at	AT5G04370
257919_at	AT3G23250
264527_at	AT1G30760
263232_at	AT1G05700
253240_at	AT4G34510
249979_s_at	 * 
262339_at	AT1G64000
256801_at	 * 
262529_at	AT1G17250
264783_at	AT1G08650
248205_at	AT5G54300
254155_at	AT4G24480
266733_at	AT2G03280
258603_at	AT3G02990
259896_at	AT1G71500
255543_at	AT4G01870
262939_s_at	 * 
245697_at	AT5G04200
AFFX-Athal-GAPDH_3_s_at	AT3G04120
250025_at	AT5G18290
267344_at	AT2G44230
247828_at	AT5G58510
244990_s_at	 * 
254612_at	AT4G19100
258224_at	AT3G15670
246024_at	AT5G21130
247600_at	AT5G60890
265468_at	AT2G37210
253893_at	AT4G27390
263593_at	AT2G01860
266291_at	AT2G29320
257418_at	AT1G30850
249513_at	AT5G38460
247723_at	AT5G59220
253714_at	AT4G29380
261119_at	AT1G75350
260970_at	AT1G53640
267425_at	AT2G34810
263106_at	AT2G05160
249009_at	AT5G44610
256356_s_at	 * 
258879_at	AT3G03270
260567_at	AT2G43820
265803_at	AT2G18115
247337_at	AT5G63660
251727_at	AT3G56290
263090_at	AT2G16190
264246_at	AT1G60140
261558_at	AT1G01770
260812_at	AT1G43650
258080_at	AT3G25930
246069_at	AT5G20220
253325_at	AT4G33925
261821_at	AT1G11530
263876_at	AT2G21880
258923_at	AT3G10450
245661_at	AT1G28220
258143_at	AT3G18170
256039_at	AT1G19190
260462_at	AT1G10970
261876_at	AT1G50590
264561_at	AT1G55810
251093_at	AT5G01360
246802_at	AT5G27000
250662_at	AT5G07010
266082_at	AT2G37830
265182_at	AT1G23740
245798_at	AT1G45545
266988_at	AT2G39310
259723_at	AT1G60960
246917_at	AT5G25280
263153_s_at	 * 
265134_at	AT1G51260
261125_at	AT1G04990
254097_at	AT4G25160
265302_at	AT2G13970
245524_at	AT4G15920
249332_at	AT5G40980
247769_at	AT5G58910
250269_at	AT5G12970
263490_at	AT2G42620
248942_at	AT5G45480
267012_at	AT2G39220
263776_s_at	 * 
256811_at	AT3G21340
259907_at	AT1G60860
250463_at	AT5G10030
264961_at	AT1G76950
250752_at	AT5G05690
267199_at	AT2G30990
259661_at	AT1G55265
253052_at	AT4G37310
255773_at	AT1G18590
261866_at	AT1G50420
258623_at	AT3G02790
263533_at	AT2G24820
246782_at	AT5G27320
263607_at	AT2G16270
262661_s_at	 * 
267054_at	AT2G38370
265672_at	AT2G31980
262235_at	AT1G48350
260300_at	AT1G80340
262376_at	AT1G72970
262482_at	AT1G17020
265245_at	AT2G43060
249534_at	AT5G38800
245776_at	AT1G30260
249742_at	AT5G24490
248716_at	AT5G48210
261636_at	AT1G50110
262317_at	AT2G48140
253614_at	AT4G30350
247131_at	AT5G66190
266215_at	AT2G06850
253836_at	AT4G27840
247529_at	AT5G61520
261550_at	AT1G63450
256736_at	AT3G29410
258679_at	AT3G08590
246366_at	AT1G51850
263998_at	AT2G22510
263499_at	AT2G42580
257638_at	 * 
264482_at	AT1G77210
253664_at	AT4G30210
250157_at	AT5G15180
252367_at	AT3G48360
253125_at	AT4G36040
263157_at	AT1G54100
252209_at	AT3G50400
244901_at	ATMG00640
